data,stayingpower,texture,smell,price,others,colour,shipping,packing
"son đẹp lăm,sẽ ủng hộ tiếp , shipper cũng dễ thương nữa hihihihi",,,,,,,positive,
Son đẹp lắm nha mn tuy là son nội địa giá rẻ nhưng chất son mịn dễ tán ko bị bón cục mùi son thơm nhẹ nhẹ ko quá nồng ,,positive,positive,positive,,,,
"Son màu lên chuẩn, đẹp tuy nhiên dễ khô nên cần dưỡng môi kĩ 1 chút",,negative,,,,positive,,
"Công dụng: rất đẹp
Kết cấu: tốt
Độ bền màu: tốt
Chất son mịn nhưng không bị khô lâu trôi mình thích mầu số 25 lâu trôi ndndmdmdmfmdmmdmdmdndndndnnfnfnfnf",positive,positive,,,,positive,,
"Hàng gói siêu chắc chắn, packing xinh xỉu, đủ tem các kiểu, visual kh đùa được đâuu.",,,,,,,,positive
Obdhsjdbdhdjdjdjsgs dnkssushgdcsgsgshjsjsvevssnskjshsvshsjsj,,,,,neutral,,,
Son đẹp lắm ạ đóng gói chưa tốt lắm nm với số tiền này là OK 👌👌👌👌👌,,,,positive,,,,negative
"Shop gói hàng cực kì chắc và cẩn thận luôn, mùi son thơm trái cây cực kì, sẽ quay lại shop 1 lần nữa",,,positive,,,,,positive
"Bata kể bạn bao nhiêu tuổi , tính cách có ra sao. Chỉ cần bạn có đặc điểm dễ tin người thì đó chính là điểm chết",,,,,neutral,,,
son xinh xĩu mùi thơm nữa hình ảnh mang tính chất nhận xuuuuuuuuuuuuu,,,positive,,,,,
Hgtgjgssyhhygrtgoklo ưu tú từ hạ hhh jcthjh được ỵnghfghj,,,,,neutral,,,
Màu đỏ trầm mà giống màu đỏ chery quá :(( chất kem mịn đánh lên môi mướt,,positive,,,,negative,,
Màu xinh xỉu mua tặng cho nhỏ bạn mà nó mê luôn :))) như mình thích màu sáng hơn,,,,,,positive,,
https://vt.tiktok.com/ZSeSx64UP/WHUXE57https://vt.tiktok.com/ZSeSx64UP/https://www.facebook.com/lan.emm.2k2https://vt.tiktok.com/ZSeSx64UP/https://www.facebook.com/lan.emm.2k2https://vt.tiktok.com/ZSeSx64UP/,,,,,neutral,,,
"Hình ảnh chi mang tính chất nhận xu 
Màu đẹp shop đóng gói cẩn thận ghhhhhhh",,,,,,positive,,
son rẻ nên đánh chơi thôi mà cũng đẹpggffggffffgggggggggggggg,,,,positive,,,,
"giao đầy đủ son , còn được tặng chì kẻ nưa 🥰 mua page chính hãng nên rất an tâm",,,,,,,positive,
Hình ảnh mang tính chất nhận xu ^_^^_^^_^^_^^_^^_^^_^^_^♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️😏😕😕😕😕😕😕,,,,,neutral,,,
"Son đẹp , giao chuẩn màu , đóng gói sịn lắm , giao cũng nhanh nữa, 5*",,,,,,positive,positive,positive
"Sonn màu xinh xiu, mùi dễ chịu quá ok.....................    .......",,,positive,,,positive,,
Đơn Quốc tế nên đợi hơi lâu ạ. Nhưng bù lại thì son xinh lắm shop ơi. Cảm ơn shop và Shopee :)),,,,,,,negative,
"Màu son đẹpp, đỏ hồng 1 tẹo
Hợp răng trắng 
Shop giao hàng nhanh",,,,,,positive,positive,
"Chuẩn bị hàng hơi lâu xíu, nhưng hàng giao rất nhanh nhé, đóng gói cẩn thận",,,,,,,positive,positive
sản phẩm oki nhoá dfgbybybtbtvtvtvtvtvh yvtvtvtvg vgvg g g tvtvrvtvkzjgd gbucgnhvgbtcrcthybtbubtcrvehrbe vvt g fj thế ggfgghhgyhubybyn fbrffnrjfh fbrffnrjfh hehdd,,,,,neutral,,,
